time,Sum of Sessions - ChargerId → Energy,energy
2017-02-07T18:30:00Z,1.485,1.485
2017-02-08T18:30:00Z,3.401,3.401
2017-02-12T18:30:00Z,5.826,5.826
2017-02-13T18:30:00Z,5.187,5.187
2017-02-14T18:30:00Z,3.802,3.802
2017-02-20T18:30:00Z,3.964,3.964
2017-02-21T18:30:00Z,3.666,3.666
2017-02-22T18:30:00Z,3.631,3.631
2017-02-23T18:30:00Z,6.08,6.08
2017-02-27T18:30:00Z,9.565000000000001,9.565000000000001
2017-02-28T18:30:00Z,4.731,4.731
2017-03-01T18:30:00Z,3.143,3.143
2017-03-02T18:30:00Z,0.917,0.917
2017-03-05T18:30:00Z,4.787,4.787
2017-03-06T18:30:00Z,5.929,5.929
2017-03-22T18:30:00Z,15.971,15.971
2017-05-18T18:30:00Z,0,0
2017-05-19T18:30:00Z,7.034,7.034
2017-05-21T18:30:00Z,1.242,1.242
2017-05-22T18:30:00Z,30.977,30.977
2017-05-23T18:30:00Z,29.423000000000002,29.423000000000002
2017-05-24T18:30:00Z,39.400999999999996,39.400999999999996
2017-05-25T18:30:00Z,23.631,23.631
2017-05-29T18:30:00Z,3.086,3.086
2017-05-30T18:30:00Z,6.732,6.732
2017-05-31T18:30:00Z,31.769000000000002,31.769000000000002
2017-06-01T18:30:00Z,86.18900000000001,86.18900000000001
2017-06-04T18:30:00Z,68.958,68.958
2017-06-05T18:30:00Z,49.716,49.716
2017-06-06T18:30:00Z,39.892,39.892
2017-06-07T18:30:00Z,42.968,42.968
2017-06-08T18:30:00Z,19.025,19.025
2017-06-09T18:30:00Z,0,0
2017-06-11T18:30:00Z,32.315,32.315
2017-06-12T18:30:00Z,64.108,64.108
2017-06-13T18:30:00Z,34.376999999999995,34.376999999999995
2017-06-14T18:30:00Z,41.223,41.223
2017-06-15T18:30:00Z,19.363,19.363
2017-06-18T18:30:00Z,26.711,26.711
2017-06-19T18:30:00Z,40.201,40.201
2017-06-20T18:30:00Z,31.293,31.293
2017-06-21T18:30:00Z,33.902,33.902
2017-06-23T18:30:00Z,6.197,6.197
2017-06-25T18:30:00Z,15.163,15.163
2017-06-26T18:30:00Z,70.645,70.645
2017-06-27T18:30:00Z,40.058,40.058
2017-06-28T18:30:00Z,30.315,30.315
2017-06-29T18:30:00Z,5.287,5.287
2017-07-02T18:30:00Z,25.621,25.621
2017-07-04T18:30:00Z,61.02,61.02
2017-07-05T18:30:00Z,61.658,61.658
2017-07-06T18:30:00Z,8.015,8.015
2017-07-09T18:30:00Z,98.822,98.822
2017-07-10T18:30:00Z,80.019,80.019
2017-07-11T18:30:00Z,45.075,45.075
2017-07-12T18:30:00Z,5.719,5.719
2017-07-13T18:30:00Z,13.872,13.872
2017-07-16T18:30:00Z,52.201,52.201
2017-07-17T18:30:00Z,57.066,57.066
2017-07-18T18:30:00Z,13.789000000000001,13.789000000000001
2017-07-19T18:30:00Z,6.641,6.641
2017-07-20T18:30:00Z,20.967,20.967
2017-07-23T18:30:00Z,35.982,35.982
2017-07-24T18:30:00Z,7.66,7.66
2017-07-25T18:30:00Z,46.495000000000005,46.495000000000005
2017-07-26T18:30:00Z,9.72,9.72
2017-07-27T18:30:00Z,33.227000000000004,33.227000000000004
2017-07-30T18:30:00Z,7.005,7.005
2017-07-31T18:30:00Z,24.878999999999998,24.878999999999998
2017-08-01T18:30:00Z,19.778,19.778
2017-08-02T18:30:00Z,19.844,19.844
2017-08-03T18:30:00Z,8.022,8.022
2017-08-06T18:30:00Z,44.864999999999995,44.864999999999995
2017-08-07T18:30:00Z,57.441,57.441
2017-08-08T18:30:00Z,38.662,38.662
2017-08-09T18:30:00Z,63.726,63.726
2017-08-10T18:30:00Z,33.854,33.854
2017-08-11T18:30:00Z,12.647,12.647
2017-08-12T18:30:00Z,4.141,4.141
2017-08-13T18:30:00Z,50.647,50.647
2017-08-14T18:30:00Z,26.383000000000003,26.383000000000003
2017-08-15T18:30:00Z,50.358,50.358
2017-08-16T18:30:00Z,33.601,33.601
2017-08-17T18:30:00Z,13.233,13.233
2017-08-20T18:30:00Z,24.137999999999998,24.137999999999998
2017-08-21T18:30:00Z,24.671999999999997,24.671999999999997
2017-08-22T18:30:00Z,24.338,24.338
2017-08-23T18:30:00Z,47.540000000000006,47.540000000000006
2017-08-24T18:30:00Z,28.348,28.348
2017-08-25T18:30:00Z,15.104,15.104
2017-08-27T18:30:00Z,88.295,88.295
2017-08-28T18:30:00Z,45.036,45.036
2017-08-29T18:30:00Z,55.712,55.712
2017-08-30T18:30:00Z,18.986,18.986
2017-08-31T18:30:00Z,32.408,32.408
2017-09-04T18:30:00Z,39.299,39.299
2017-09-05T18:30:00Z,35.82,35.82
2017-09-06T18:30:00Z,7.064,7.064
2017-09-11T18:30:00Z,9.018,9.018
2017-09-12T18:30:00Z,16.9,16.9
2017-09-13T18:30:00Z,18.704,18.704
2017-09-14T18:30:00Z,39.865,39.865
2017-09-17T18:30:00Z,46.103,46.103
2017-09-18T18:30:00Z,48.391000000000005,48.391000000000005
2017-09-19T18:30:00Z,38.931,38.931
2017-09-20T18:30:00Z,26.779000000000003,26.779000000000003
2017-09-21T18:30:00Z,101.04599999999999,101.04599999999999
2017-09-22T18:30:00Z,25.095,25.095
2017-09-24T18:30:00Z,26.708,26.708
2017-09-25T18:30:00Z,19.62,19.62
2017-09-26T18:30:00Z,33.286,33.286
2017-09-27T18:30:00Z,26.824,26.824
2017-09-28T18:30:00Z,82.446,82.446
2017-10-01T18:30:00Z,78.611,78.611
2017-10-02T18:30:00Z,29.387999999999998,29.387999999999998
2017-10-03T18:30:00Z,39.557,39.557
2017-10-04T18:30:00Z,42.65,42.65
2017-10-05T18:30:00Z,66.801,66.801
2017-10-08T18:30:00Z,25.47,25.47
2017-10-09T18:30:00Z,30.003,30.003
2017-10-10T18:30:00Z,49.991,49.991
2017-10-11T18:30:00Z,44.319,44.319
2017-10-12T18:30:00Z,17.625,17.625
2017-10-13T18:30:00Z,35.525,35.525
2017-10-15T18:30:00Z,77.888,77.888
2017-10-16T18:30:00Z,94.52,94.52
2017-10-17T18:30:00Z,28.285,28.285
2017-10-18T18:30:00Z,17.083,17.083
2017-10-19T18:30:00Z,76.024,76.024
2017-10-20T18:30:00Z,8.239,8.239
2017-10-22T18:30:00Z,86.036,86.036
2017-10-23T18:30:00Z,18.861,18.861
2017-10-24T18:30:00Z,10.833,10.833
2017-10-25T18:30:00Z,90.291,90.291
2017-10-26T18:30:00Z,29.857,29.857
2017-10-27T18:30:00Z,32.822,32.822
2017-10-29T18:30:00Z,21.636,21.636
2017-10-30T18:30:00Z,103.101,103.101
2017-10-31T18:30:00Z,77.309,77.309
2017-11-01T18:30:00Z,12.334,12.334
2017-11-02T18:30:00Z,22.548000000000002,22.548000000000002
2017-11-03T18:30:00Z,51.736,51.736
2017-11-04T18:30:00Z,7.485,7.485
2017-11-05T18:30:00Z,17.951999999999998,17.951999999999998
2017-11-06T18:30:00Z,69.102,69.102
2017-11-07T18:30:00Z,21.036,21.036
2017-11-08T18:30:00Z,0.964,0.964
2017-11-09T18:30:00Z,11.492,11.492
2017-11-14T18:30:00Z,0,0
2017-11-15T18:30:00Z,6.101999999999999,6.101999999999999
2017-11-16T18:30:00Z,36.085,36.085
2017-11-19T18:30:00Z,10.382,10.382
2017-11-20T18:30:00Z,2.761,2.761
2017-11-26T18:30:00Z,9.264,9.264
2017-11-27T18:30:00Z,21.317,21.317
2017-11-28T18:30:00Z,4.073,4.073
2017-11-29T18:30:00Z,16.189,16.189
2017-11-30T18:30:00Z,2.211,2.211
2017-12-03T18:30:00Z,2.52,2.52
2017-12-04T18:30:00Z,6.59,6.59
2017-12-05T18:30:00Z,5.496,5.496
2017-12-06T18:30:00Z,7.127,7.127
2017-12-10T18:30:00Z,8.576,8.576
2017-12-11T18:30:00Z,8.365,8.365
2017-12-12T18:30:00Z,15.503,15.503
2017-12-14T18:30:00Z,5.177,5.177
2017-12-15T18:30:00Z,0.539,0.539
2017-12-17T18:30:00Z,11.982,11.982
2017-12-18T18:30:00Z,4.432,4.432
2017-12-19T18:30:00Z,20.137,20.137
2017-12-20T18:30:00Z,6.388,6.388
2017-12-23T18:30:00Z,62.16,62.16
2017-12-27T18:30:00Z,13.97,13.97
2017-12-28T18:30:00Z,11.606,11.606
2017-12-30T18:30:00Z,65.015,65.015
2018-01-01T18:30:00Z,6.718,6.718
2018-01-02T18:30:00Z,3.028,3.028
2018-01-03T18:30:00Z,57.895,57.895
2018-01-04T18:30:00Z,7.936,7.936
2018-01-07T18:30:00Z,9.799,9.799
2018-01-08T18:30:00Z,71.21000000000001,71.21000000000001
2018-01-09T18:30:00Z,8.001999999999999,8.001999999999999
2018-01-10T18:30:00Z,40.522999999999996,40.522999999999996
2018-01-11T18:30:00Z,6.493,6.493
2018-01-13T18:30:00Z,21.321,21.321
2018-01-14T18:30:00Z,19.771,19.771
2018-01-15T18:30:00Z,15.899000000000001,15.899000000000001
2018-01-16T18:30:00Z,18.665,18.665
2018-01-17T18:30:00Z,106.744,106.744
2018-01-18T18:30:00Z,22.622,22.622
2018-01-19T18:30:00Z,40.523,40.523
2018-01-21T18:30:00Z,56.81,56.81
2018-01-22T18:30:00Z,25.467,25.467
2018-01-23T18:30:00Z,20.646,20.646
2018-01-24T18:30:00Z,12.625,12.625
2018-01-25T18:30:00Z,17.243000000000002,17.243000000000002
2018-01-27T18:30:00Z,10.5,10.5
2018-01-28T18:30:00Z,17.191000000000003,17.191000000000003
2018-01-29T18:30:00Z,104.088,104.088
2018-01-30T18:30:00Z,30.284,30.284
2018-01-31T18:30:00Z,38.255,38.255
2018-02-01T18:30:00Z,51.768,51.768
2018-02-02T18:30:00Z,3.272,3.272
2018-02-04T18:30:00Z,54.82,54.82
2018-02-05T18:30:00Z,43.163,43.163
2018-02-06T18:30:00Z,35.258,35.258
2018-02-07T18:30:00Z,60.45,60.45
2018-02-08T18:30:00Z,74.37,74.37
2018-02-11T18:30:00Z,37.814,37.814
2018-02-12T18:30:00Z,43.58,43.58
2018-02-13T18:30:00Z,41.58,41.58
2018-02-14T18:30:00Z,16.791,16.791
2018-02-15T18:30:00Z,55.284,55.284
2018-02-16T18:30:00Z,44.545,44.545
2018-02-17T18:30:00Z,43.849,43.849
2018-02-18T18:30:00Z,97.161,97.161
2018-02-19T18:30:00Z,29.793,29.793
2018-02-20T18:30:00Z,20.561,20.561
2018-02-21T18:30:00Z,82.472,82.472
2018-02-22T18:30:00Z,16.490000000000002,16.490000000000002
2018-02-23T18:30:00Z,62.46,62.46
2018-02-24T18:30:00Z,93.543,93.543
2018-02-25T18:30:00Z,25.725,25.725
2018-02-26T18:30:00Z,70.905,70.905
2018-02-27T18:30:00Z,16.804000000000002,16.804000000000002
2018-02-28T18:30:00Z,19.490000000000002,19.490000000000002
2018-03-01T18:30:00Z,22.859,22.859
2018-03-02T18:30:00Z,20.093,20.093
2018-03-04T18:30:00Z,118.136,118.136
2018-03-05T18:30:00Z,151.875,151.875
2018-03-06T18:30:00Z,22.778,22.778
2018-03-07T18:30:00Z,134.2,134.2
2018-03-08T18:30:00Z,26.486,26.486
2018-03-11T18:30:00Z,119.785,119.785
2018-03-12T18:30:00Z,18.407,18.407
2018-03-13T18:30:00Z,114.507,114.507
2018-03-14T18:30:00Z,23.694,23.694
2018-03-15T18:30:00Z,150.289,150.289
2018-03-16T18:30:00Z,31.769,31.769
2018-03-18T18:30:00Z,31.15,31.15
2018-03-19T18:30:00Z,32.975,32.975
2018-03-20T18:30:00Z,72.875,72.875
2018-03-21T18:30:00Z,45.506,45.506
2018-03-22T18:30:00Z,144.165,144.165
2018-03-23T18:30:00Z,56.422,56.422
2018-03-24T18:30:00Z,90.744,90.744
2018-03-25T18:30:00Z,126.42099999999999,126.42099999999999
2018-03-26T18:30:00Z,12.778,12.778
2018-03-27T18:30:00Z,34.284,34.284
2018-03-28T18:30:00Z,95.13300000000001,95.13300000000001
2018-03-29T18:30:00Z,13.922999999999998,13.922999999999998
2018-03-31T18:30:00Z,62.808,62.808
2018-04-01T18:30:00Z,82.979,82.979
2018-04-02T18:30:00Z,21.637,21.637
2018-04-03T18:30:00Z,129.461,129.461
2018-04-04T18:30:00Z,54.439,54.439
2018-04-05T18:30:00Z,60.855000000000004,60.855000000000004
2018-04-06T18:30:00Z,26.267,26.267
2018-04-07T18:30:00Z,4.334,4.334
2018-04-08T18:30:00Z,52.861999999999995,52.861999999999995
2018-04-09T18:30:00Z,137.087,137.087
2018-04-10T18:30:00Z,134.237,134.237
2018-04-11T18:30:00Z,81.298,81.298
2018-04-12T18:30:00Z,50.814,50.814
2018-04-14T18:30:00Z,7.415,7.415
2018-04-15T18:30:00Z,54.51,54.51
2018-04-16T18:30:00Z,119.527,119.527
2018-04-17T18:30:00Z,101.257,101.257
2018-04-18T18:30:00Z,39.367,39.367
2018-04-19T18:30:00Z,107.176,107.176
2018-04-20T18:30:00Z,88.176,88.176
2018-04-21T18:30:00Z,39.891000000000005,39.891000000000005
2018-04-22T18:30:00Z,88.601,88.601
2018-04-23T18:30:00Z,76.932,76.932
2018-04-24T18:30:00Z,77.108,77.108
2018-04-25T18:30:00Z,232.404,232.404
2018-04-26T18:30:00Z,107.942,107.942
2018-04-27T18:30:00Z,14.127,14.127
2018-04-28T18:30:00Z,43.635,43.635
2018-04-29T18:30:00Z,87.243,87.243
2018-04-30T18:30:00Z,73.694,73.694
2018-05-01T18:30:00Z,87.879,87.879
2018-05-02T18:30:00Z,138.826,138.826
2018-05-03T18:30:00Z,150.811,150.811
2018-05-04T18:30:00Z,8.026,8.026
2018-05-06T18:30:00Z,116.819,116.819
2018-05-07T18:30:00Z,142.111,142.111
2018-05-08T18:30:00Z,74.169,74.169
2018-05-09T18:30:00Z,162.565,162.565
2018-05-10T18:30:00Z,60.447,60.447
2018-05-11T18:30:00Z,131.501,131.501
2018-05-12T18:30:00Z,56.861,56.861
2018-05-13T18:30:00Z,81.178,81.178
2018-05-14T18:30:00Z,132.14,132.14
2018-05-15T18:30:00Z,78.693,78.693
2018-05-16T18:30:00Z,141.086,141.086
2018-05-17T18:30:00Z,103.362,103.362
2018-05-18T18:30:00Z,54.019000000000005,54.019000000000005
2018-05-19T18:30:00Z,1.847,1.847
2018-05-20T18:30:00Z,79.603,79.603
2018-05-21T18:30:00Z,112.98,112.98
2018-05-22T18:30:00Z,145.529,145.529
2018-05-23T18:30:00Z,156.814,156.814
2018-05-24T18:30:00Z,116.932,116.932
2018-05-25T18:30:00Z,22.68,22.68
2018-05-26T18:30:00Z,40.678,40.678
2018-05-27T18:30:00Z,19.768,19.768
2018-05-28T18:30:00Z,157.484,157.484
2018-05-29T18:30:00Z,141.857,141.857
2018-05-30T18:30:00Z,143.861,143.861
2018-05-31T18:30:00Z,49.084,49.084
2018-06-01T18:30:00Z,25.107,25.107
2018-06-02T18:30:00Z,0,0
2018-06-03T18:30:00Z,96.796,96.796
2018-06-04T18:30:00Z,115.249,115.249
2018-06-05T18:30:00Z,96.375,96.375
2018-06-06T18:30:00Z,61.58,61.58
2018-06-07T18:30:00Z,98.094,98.094
2018-06-08T18:30:00Z,53.456,53.456
2018-06-09T18:30:00Z,25.188,25.188
2018-06-10T18:30:00Z,88.633,88.633
2018-06-11T18:30:00Z,68.803,68.803
2018-06-12T18:30:00Z,142.808,142.808
2018-06-13T18:30:00Z,112.21300000000001,112.21300000000001
2018-06-14T18:30:00Z,118.869,118.869
2018-06-15T18:30:00Z,104.691,104.691
2018-06-17T18:30:00Z,216.051,216.051
2018-06-18T18:30:00Z,117.732,117.732
2018-06-19T18:30:00Z,174.158,174.158
2018-06-20T18:30:00Z,60.474000000000004,60.474000000000004
2018-06-21T18:30:00Z,54.010999999999996,54.010999999999996
2018-06-22T18:30:00Z,119.245,119.245
2018-06-23T18:30:00Z,73.519,73.519
2018-06-24T18:30:00Z,83.317,83.317
2018-06-25T18:30:00Z,46.59,46.59
2018-06-26T18:30:00Z,110.837,110.837
2018-06-27T18:30:00Z,81.539,81.539
2018-06-28T18:30:00Z,188.731,188.731
2018-06-30T18:30:00Z,26.167,26.167
2018-07-01T18:30:00Z,106.717,106.717
2018-07-02T18:30:00Z,175.07999999999998,175.07999999999998
2018-07-03T18:30:00Z,10.507,10.507
2018-07-04T18:30:00Z,115.688,115.688
2018-07-05T18:30:00Z,108.548,108.548
2018-07-06T18:30:00Z,0,0
2018-07-07T18:30:00Z,23.951,23.951
2018-07-08T18:30:00Z,170.101,170.101
2018-07-09T18:30:00Z,35.002,35.002
2018-07-10T18:30:00Z,35.603,35.603
2018-07-11T18:30:00Z,59.107,59.107
2018-07-12T18:30:00Z,33.322,33.322
2018-07-13T18:30:00Z,14.812,14.812
2018-07-14T18:30:00Z,0.126,0.126
2018-07-15T18:30:00Z,75.806,75.806
2018-07-16T18:30:00Z,112.464,112.464
2018-07-17T18:30:00Z,79.318,79.318
2018-07-18T18:30:00Z,60.202,60.202
2018-07-19T18:30:00Z,103.734,103.734
2018-07-20T18:30:00Z,23.213,23.213
2018-07-21T18:30:00Z,22.044,22.044
2018-07-22T18:30:00Z,73.232,73.232
2018-07-23T18:30:00Z,80.66,80.66
