"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
"2","38.9243288","-77.211474","50","","","","OVERPASS","","","parking","parking"
"21","43.2378974","-78.9101523","50","","Ransomville Road Ransomville 14131","","OVERPASS","","","pharmacy","healthcare"
"28","41.6003265","-87.2677099","50","Miller Beach Cigar Bar"," Tiny's Coffee Bar"," Dialogue Wine Bar"," Marshall J. Gardner Center for the Arts""""","South Lake Street Gary IN 46403, South Lake Street Gary IN 46403, South Lake Street Gary IN 46403, South Lake Street Gary IN 46403"",,OVERPASS,,,""arts_centre, bar, cafe, charging_station, parking"",food_and_drink","","",""
"36","32.8635083","-115.5714121","50","","","","OVERPASS","","","restaurant","food_and_drink"
"31","37.3810439","-121.9744","50","Starbucks"," Chipotle"," Lee's Sandwiches""""","Coronado Place Santa Clara CA 95054, Coronado Place Santa Clara CA 95054"",customers,OVERPASS,""['Mo-Fr 05:00-20:00', 'Sa-Su 05:30-20:00']"",,""cafe, fast_food, parking"",food_and_drink","","","",""
"91","37.6579634","-122.0931566","50","","","","OVERPASS","","","parking","parking"
"93","38.5846909","-121.4802436","50","","","","OVERPASS","","","parking","parking"
"95","47.2479617","-91.3129415","50","","","","OVERPASS","","","parking","parking"
"37","32.880587","-117.2037167","50","","","","OVERPASS","","","parking","parking"
"38","35.3435625","-80.1783947","200","Applebee's"," Parkway House Restaurant"," Starbucks""""","NC 24-27 Albemarle NC 28001, NC 24-27 Albemarle NC 28001, NC-24 28001"",,OVERPASS,,,""cafe, restaurant"",food_and_drink","","","",""
"39","39.4117688","-77.4127632","200","Asbury United Methodist Church","West All Saints Street","","OVERPASS","","","place_of_worship","other"
"333","33.1786263","-96.829315","200","Memorial High School","","","OVERPASS","","","school","education"
"378","47.6194737","-122.2012785","50","","","","OVERPASS","","","parking","parking"
"44","41.178005","-104.0750188","50","","","","OVERPASS","","","parking","parking"
"45","41.8302427","-88.0247515","50","","","","OVERPASS","","","parking","parking"
"47","42.3445689","-71.0306099","50","","","","OVERPASS","","","parking","parking"
"48","30.3036487","-97.7048284","50","","","customers","OVERPASS","","","parking","parking"
"516","33.2808612","-111.8176901","100","","","","OVERPASS","","","waste_disposal","other"
"51","41.0782431","-85.1359112","50","","","","OVERPASS","","","parking","parking"
"54","26.6040443","-81.8094648","50","","","","OVERPASS","","","parking","parking"
"57","41.5577916","-72.1130487","50","Illiano's","","","OVERPASS","","","restaurant","food_and_drink"
"58","46.5436062","-87.3862851","50","","","","OVERPASS","","","parking","parking"
"600","40.5710994","-122.4026698","50","","","","OVERPASS","","","parking","parking"
"603","39.807101","-104.9861931","50","","","","OVERPASS","","","parking","parking"
"744","35.8636088","-78.8348072","50","","","","OVERPASS","","","parking","parking"
"62","40.0467229","-75.5190642","50","","","","OVERPASS","","","parking","parking"
"63","33.6522142","-117.7474482","50","Dr. Bradley Noon"," 200 Parking""""","Spectrum Center Drive Irvine CA 92618, Spectrum Center Drive Irvine CA"",,OVERPASS,""['Mo-Fr 08:00-17:00', 'Sa-Su off']"",,""clinic, parking, parking_entrance"",healthcare","","","","",""
"67","33.8239796","-116.5116864","50","Palm Springs City Hall","CA","","OVERPASS","","","townhall","government_civic"
"69","35.1031699","-106.6029865","50","","","","OVERPASS","","","parking","parking"
"70","35.7618688","-84.0073339","50","","","","OVERPASS","","","parking","parking"
"71","38.7493769","-121.2654084","50","","","","OVERPASS","","","parking","parking"
"1117","31.4469221","-100.4957322","50","","","","OVERPASS","","","parking","parking"
"83","33.6846071","-117.8839607","50","","Bristol Street Costa Mesa CA 92626","","OVERPASS","","","parking","parking"
"84","33.8257213","-117.9951367","50","West Anaheim Medical Center","West Orange Avenue Anaheim 92804","","OVERPASS","['24/7']","","hospital","healthcare"
"86","39.6526438","-84.1144467","100","Miami Valley Hospital South","Miami Valley Drive Centerville 45459","","OVERPASS","['24/7']","","hospital","healthcare"
"1333","41.7684304","-72.6450707","50","","","","OVERPASS","","","parking","parking"
"87","40.4541175","-79.9546863","200","","","","OVERPASS","","","parking_entrance","parking"
"89","44.6981672","-73.4530334","50","Aleka's"," Fred Villari's Studios"," Pizza Bono""""","Margaret Street Plattsburgh NY 12901, Margaret Street Plattsburgh NY 12901"",yes,OVERPASS,,,""dojo, parking, restaurant"",food_and_drink","","","",""
"90","34.1257691","-109.9356725","100","Charlie Clark's Steakhouse","East White Mountain Blvd AZ","","OVERPASS","","","restaurant","food_and_drink"
"97","41.5180371","-72.7944955","200","","","","OVERPASS","","","parking","parking"
"1642","35.0882814","-106.649755","50","ChargePoint"," Lounge 201"," Icon Bistro""""","Marquette Avenue Northwest Albuquerque NM, Marquette Avenue Northwest Albuquerque NM"",private,OVERPASS,,,""cafe, charging_station, parking, restaurant"",food_and_drink","","","",""
"1686","36.0677493","-119.017847","50","Porterville Transit Center"," Porterville Transit Center""""","West Oak Avenue Porterville CA 93257, West Oak Avenue Porterville CA 93257"",,OVERPASS,,,bus_station,other","","","","",""
"1688","38.7182007","-75.1118336","100","Mission BBQ","","","OVERPASS","","","restaurant","food_and_drink"
"1731","26.308225","-81.8114859","200","","","","OVERPASS","","","fountain","other"
"1821","42.130734","-71.0823571","50","YMCA Community Center","","","OVERPASS","","","community_centre","other"
"1869","34.1509806","-117.2177499","100","San Manuel Community Center","","","OVERPASS","","","community_centre","other"
"100","35.0568682","-118.1579955","100","Voyager","","","OVERPASS","","","restaurant","food_and_drink"
