"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
1,35.932504,-79.0270169,100,"3CUPS, Living Kitchen, Avis, Budget","South Elliott Road Chapel Hill NC 27514, South Elliott Road Chapel Hill NC 27514","nan","OVERPASS","nan","nan","bicycle_parking, cafe, car_rental, parking_entrance, restaurant","food_and_drink"
2,38.9243288,-77.211474,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
3,41.0182358,-73.6403033,200,"Hamilton Avenue School","nan","nan","OVERPASS","nan","nan","school","education"
4,44.3023568,-120.8489298,100,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
5,47.616264,-122.1965762,50,"Jimmy John's, City Soups, Starbucks, Inchin, Key Center Parking, Market Fresh, KeyBank","108th Avenue Northeast Bellevue WA 98004, 108th Avenue Northeast Bellevue WA 98004, 108th Avenue Northeast Bellevue 98004","nan","OVERPASS","['Mo-Fr 10:30-14:30']","[{'days': ['{""Mo-Fr'], 'open': '10:30', 'close': '14:30""}'}]","bank, cafe, fast_food, parking_entrance, restaurant","food_and_drink"
6,35.606526,-77.3697443,50,"Student Center Parking Garage","nan","yes, yes","OVERPASS","['24/7']","nan","parking, parking_entrance","parking"
7,36.3489457,-119.625401,50,"Hamilton Elementary School","nan","nan","OVERPASS","nan","nan","school","education"
8,38.8338941,-76.9430166,200,"Taco Bell, Ledo Pizza, Burger King","Branch Avenue Temple Hills MD 20748, 28th Avenue Temple Hills MD 20748","nan","OVERPASS","['Mo-Sa 06:00-22:00', 'Su 07:00-22:00']","nan","fast_food, parking, restaurant","food_and_drink"
9,38.9234345,-94.6554939,200,"nan","nan","nan","OVERPASS","nan","nan","charging_station, parking_entrance","parking"
10,40.2347505,-83.3674989,50,"Marysville Fire Division Station 272, Marysville City Hall","Marysville OH 43040","nan","OVERPASS","nan","nan","fire_station, townhall","government_civic"
11,26.0510764,-80.2486276,100,"nan","nan","nan","OVERPASS","nan","nan","fountain","other"
12,33.5443475,-86.5867386,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
13,37.5957432,-84.1969415,200,"Log Cabin School","nan","nan","OVERPASS","nan","nan","school","education"
14,38.6068227,-121.5208145,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
15,39.7718703,-104.8070345,50,"Crowne Plaza Convention Center","East 40th Avenue Aurora CO 80011","nan","OVERPASS","nan","nan","conference_centre, parking","parking"
16,33.7403114,-84.3446271,50,"Holy Taco, SunTrust, Flatiron Restaurant & Bar, Joe's East Atlanta Coffee Shop, Trophy Room, Hippin' Hops, 529 Bar","Glenwood Avenue Southeast 30316, Flat Shoals Avenue Southeast 30316, Flat Shoals Avenue Southeast 30316, Flat Shoals Avenue SE, Flat Shoals Avenue Southeast Atlanta 30316, Glenwood Avenue Southeast Atlanta GA 30316, Flat Shoals Avenue Southeast Atlanta GA 30316","customers","OVERPASS","['Mo 11:00-21:00', 'Tu-Th 13:30-21:00', 'Fr-Sa 11:00-22:00', 'Su 11:00-21:00, Mo-Fr 09:00-17:00, Mo-Su 07:00-17:00, Mo-Sa 18:00-03:00, We-Th 17:00-23:00', 'Fr 17:00-00:00', 'Sa 12:00-00:00', 'Su 12:00-22:00']","nan","bank, bar, cafe, parking, pub, restaurant","food_and_drink"
17,34.9283057,-120.4219573,100,"Costco Gasoline","nan","nan","OVERPASS","nan","nan","fuel, parking_entrance","parking"
18,36.2073755,-82.659002,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
19,41.7926047,-71.4228281,200,"First Church of God, Winners Circle School","nan","nan","OVERPASS","nan","nan","place_of_worship, school","education"
20,42.3512825,-71.0448455,50,"Cisco Brewers Seaport Beer Garden","Northern Avenue Boston MA 02210","nan","OVERPASS","['24/7']","nan","bicycle_repair_station, biergarten","other"
21,43.2378974,-78.9101523,50,"nan","Ransomville Road Ransomville 14131","nan","OVERPASS","nan","nan","pharmacy","healthcare"
22,44.9201867,-85.5018899,50,"nan","nan","customers","OVERPASS","nan","nan","parking","parking"
